clauseRef,title,body,tags
1.01,Exclusive Bargaining Agent,"The Union is recognized as the exclusive collective bargaining agency for all academic employees of the Colleges engaged as teachers, counsellors and librarians, saving and excepting Chairs, Department Heads, Directors, administrative exclusions, support staff, and part-time/sessional teaching staff teaching 6 hours/week or less.",OPSEU|CAAT-A|2021-2024|Recognition|Bargaining Unit
1.01.A,Part-Time & Sessional Exclusions,Part-time in this context refers to persons who teach 6 hours per week or less. Sessional refers to full-time appointments of not more than 12 months duration in any 24 calendar month period.,OPSEU|CAAT-A|2021-2024|Definitions|Exclusions
2.01,Reclassification Prohibition,The Colleges shall not reclassify professors as instructors except through the proper application of Article 27 (Job Security).,OPSEU|CAAT-A|2021-2024|Staffing|Professors
2.02,Preference for Regular Full-Time Positions,"The College will give preference to the designation of full-time positions as regular rather than partial-load teaching positions, subject to operational requirements such as program quality, economic viability, and enrollment patterns.",OPSEU|CAAT-A|2021-2024|Staffing|Full-Time Preference
2.03.A,Preference Over Sessional Appointments,The College will give preference to regular continuing teaching positions over sessional appointments and will not abuse sessional appointments by failing to fill ongoing positions as soon as possible.,OPSEU|CAAT-A|2021-2024|Staffing|Sessional Limits
2.03.B,Abuse of Sessional and Partial-Load Usage,The College will not abuse sessional appointments by combining sessional with partial-load service to circumvent the 12-month sessional employment limit in a 24-month period.,OPSEU|CAAT-A|2021-2024|Staffing|Sessional Limits
2.03.C,Conversion of Sessional Position to Full-Time,"If the College continues a full-time position beyond one full academic year of sessional staffing, the College shall designate it as a regular full-time bargaining unit position and fill it with a bargaining unit member as soon as a qualified candidate is available.",OPSEU|CAAT-A|2021-2024|Staffing|Job Conversion
3.01,Collective Agreement Copy & Union Contacts,Each new employee shall be provided with a copy of this Collective Agreement and Local Executive contacts upon hire. Partial-load employees receive a copy on initial hire following contract negotiations or re-employment after 1 year.,OPSEU|CAAT-A|2021-2024|Relationship|Union Orientation
3.02,Employee Contact Information to Union,"In January and September, the Union Local may request and the College shall provide current addresses and phone numbers for all full-time and partial-load employees.",OPSEU|CAAT-A|2021-2024|Relationship|Employee Lists
4.01.A,No Discrimination and Human Rights Code,"No discrimination or harassment shall occur against any employee based on race, ancestry, creed, sex, sexual orientation, gender identity, gender expression, age, marital status, family status, disability, or other Human Rights Code grounds.",OPSEU|CAAT-A|2021-2024|Human Rights|Equity
4.02.A.1,Freedom from Sexual Harassment,"All employees have the right to freedom from sexual harassment in the workplace by their employer, manager, agent, or co-worker.",OPSEU|CAAT-A|2021-2024|Harassment|Safety
4.02.A.3,Freedom from Sexual Solicitation,"Employees have the right to be free from sexual solicitations or advances made by a person in a position to confer, grant, or deny a benefit or advancement.",OPSEU|CAAT-A|2021-2024|Harassment|Safety
4.02.A.10,Grievance Timeline Suspension During Investigation,"Where the College establishes an investigation under human resources policy, the time limits for processing a complaint or grievance under Article 32 or 33 are suspended until the employee receives written notice of the results.",OPSEU|CAAT-A|2021-2024|Grievances|Investigations
4.02.A.13,Union Representation in Harassment Complaints,"An employee making a harassment complaint may be accompanied and represented by a Union Steward at all complaint discussions, grievance stages, and HR investigations.",OPSEU|CAAT-A|2021-2024|Union Representation|Harassment
