clauseRef,title,body,tags
1.1,Exclusive Bargaining Agent,"The Union is recognized as the exclusive bargaining agent for all Full-Time Support Staff employees of the Colleges, save and except forepersons, supervisors, confidential employee relations staff, persons employed 24 hours/week or less, co-op students, graduates, and non-recurring project staff.",OPSEU|CAAT-FTSS|2025-2028|Recognition|Bargaining Unit
1.2,Staffing Considerations,"Recognizing the College's right to determine complement, the College will give preference to full-time over part-time assignments, and to convert part-time to full-time assignments where feasible, subject to operational requirements.",OPSEU|CAAT-FTSS|2025-2028|Recognition|Staffing
1.3,Binding on Parties,This Agreement is binding on the parties hereto and the employees as defined in Article 1.1.,OPSEU|CAAT-FTSS|2025-2028|Recognition
1.4,Excluded Persons,Persons found to be bargaining unit employees by OLRB or agreement whose former status was administrative shall be governed by this Agreement and Appendix B.,OPSEU|CAAT-FTSS|2025-2028|Recognition|Inclusions
1.5,No Strikes and No Lockouts,"The Union agrees there shall be no strike and the CEC agrees there shall be no lockout, as defined in the Colleges Collective Bargaining Act, 2008.",OPSEU|CAAT-FTSS|2025-2028|Recognition|Strike|Lockout
1.6,Non-Recurring Projects,An individual may not be maintained in a project of a non-recurring kind for a period of more than twelve (12) continuous months unless extended in writing between the Local Union and College.,OPSEU|CAAT-FTSS|2025-2028|Recognition|Projects
2.1,Interference,"There will be no intimidation, discrimination, interference, restraint or coercion exercised because of an employee's membership or non-membership in the Union.",OPSEU|CAAT-FTSS|2025-2028|Relationship|Rights
2.2,Union Activities,No union activities on College premises except as specifically referred to in this Agreement or approved in writing by the College.,OPSEU|CAAT-FTSS|2025-2028|Relationship|Union Business
2.3,Ontario Human Rights,"No discrimination in accordance with the Ontario Human Rights Code. Accommodation, if requested and determined required, is the duty of the College, Union, and employee.",OPSEU|CAAT-FTSS|2025-2028|Relationship|Human Rights|Accommodation
2.4,Gender Neutral Language,The Collective Agreement uses gender neutral inclusive pronouns.,OPSEU|CAAT-FTSS|2025-2028|Relationship|Language
2.5,Employment Equity,"Shared commitment to employment equity, consulting with Local Union regarding mechanisms, policies, and practices.",OPSEU|CAAT-FTSS|2025-2028|Relationship|Equity
3.1,Union Acknowledgements,"The Union acknowledges exclusive management functions of the Colleges to maintain order, hire, discharge, transfer, classify, discipline, and manage operations, exercised consistently with this Agreement.",OPSEU|CAAT-FTSS|2025-2028|Management Rights
4.1,Seniority List,"Seniority list sent every four months to Local Union President and Head Office, posted at each campus and available for inspection.",OPSEU|CAAT-FTSS|2025-2028|Seniority|Union Lists
4.2,List of Part-Time Employees,"Electronic list of part-time employees provided in February, June, and October, open to discussion at UCC meetings.",OPSEU|CAAT-FTSS|2025-2028|Part-Time|Union Lists
4.3.1,List of New Employees,Monthly list of all new employees provided to Local Union President.,OPSEU|CAAT-FTSS|2025-2028|New Hires|Union Lists
4.3.2,Employee Orientation,Local Union given opportunity to address new employees during orientation or up to 15 minutes scheduled in first month.,OPSEU|CAAT-FTSS|2025-2028|Orientation|Union Rights
4.4.1,Sexual Harassment,"Freedom from sexual solicitation or advance in the workplace. Prompt investigation, confidentiality, union representation permitted.",OPSEU|CAAT-FTSS|2025-2028|Harassment|Safety|Rights
4.4.2,Bullying/Psychological Harassment,"Right to be free from bullying/psychological harassment. Vexatious behavior, repeated conduct intending to degrade or humiliate is prohibited.",OPSEU|CAAT-FTSS|2025-2028|Harassment|Safety|Rights
4.5,Work of Personal Nature,Employees shall not be required to do work of a personal nature not connected with College operations.,OPSEU|CAAT-FTSS|2025-2028|Working Conditions
4.6,Union College/Campus Committees,"Joint Union/College committees to discuss matters of mutual interest including EDI, employment stability, and Indigenous commitment.",OPSEU|CAAT-FTSS|2025-2028|Committees|UCC
5.1.1,Leaves of Absence Reimbursed by Union,"Leaves of absence with pay for conventions, seminars, executive board, or mobilizers, reimbursed 100% by Union.",OPSEU|CAAT-FTSS|2025-2028|Union Leave
5.1.2,Leave of Absence - Union Representatives,"Leave with pay for provincial meetings and joint committees, reimbursed 50% by Union.",OPSEU|CAAT-FTSS|2025-2028|Union Leave|Joint Committees
5.1.3,Union Negotiating Committee,Leave granted to up to 7 employee representatives to negotiate CA renewal. Direct negotiating days and up to 15 preparation days paid by College.,OPSEU|CAAT-FTSS|2025-2028|Bargaining|Union Leave
5.2,Time Off for Local Union Business,"Paid time off for local union administration formula based on complement (12 hrs/wk under 200; 15 hrs 200-349; 18 hrs 350+), 25% reimbursed by Local Union.",OPSEU|CAAT-FTSS|2025-2028|Union Time Off|Local Business
5.3,Full-Time Assignment to Union,Unpaid leave granted to up to two employees elected to full-time union positions with full seniority accumulation.,OPSEU|CAAT-FTSS|2025-2028|Union Leave|Full-Time Union
5.4.1,Union Dues Authorization,Deduction from regular pay of regular monthly union dues as authorized under Union by-laws.,OPSEU|CAAT-FTSS|2025-2028|Union Dues
5.5.1,Notice Boards,Adequate notice boards supplied by College for posting approved Union notices.,OPSEU|CAAT-FTSS|2025-2028|Union Notices|Notice Boards
5.6.1,Copy of Agreement,Posted on College website within 14 days of signing. Link provided to new hires; printed copy upon request.,OPSEU|CAAT-FTSS|2025-2028|Collective Agreement
6.1.1,Normal Work Week,"35, 36.25, 37.5, or 40 hours per week scheduled on five consecutive days as designated by College.",OPSEU|CAAT-FTSS|2025-2028|Hours of Work|Schedules
6.1.4,Flexible Hours of Work,"Implementation of flexible hours / compressed work week by local agreement between College, Local Union, and affected employees.",OPSEU|CAAT-FTSS|2025-2028|Flexible Hours|Compressed Work Week
6.2.1,Split Shifts,There shall be no split shifts during the term of this Agreement.,OPSEU|CAAT-FTSS|2025-2028|Shifts|Split Shifts
6.2.3,Notice of Shift Change,At least 3 weeks notice for shift changes; 4 weeks notice and UCC discussion for major shift changes.,OPSEU|CAAT-FTSS|2025-2028|Shifts|Notice
6.3.1,Call Back - Workplace Return,Minimum guarantee of 4 hours overtime pay at 1.5x when recalled to physically return to workplace.,OPSEU|CAAT-FTSS|2025-2028|Call Back|Overtime
6.3.2,Call Back - Off-site Location,Minimum guarantee of 2 hours overtime pay when resolving issues from an off-site location.,OPSEU|CAAT-FTSS|2025-2028|Call Back|Remote Work
6.4,On-Call,"On-call premium $1.25/hr (increasing to $2.00/hr March 1, 2027) for being available outside regular hours.",OPSEU|CAAT-FTSS|2025-2028|On-Call|Premiums
6.6.1,Overtime Rate,Paid at 1.5x hourly rate for authorized work beyond normal daily or weekly hours or on 6th day of work.,OPSEU|CAAT-FTSS|2025-2028|Overtime|Pay
6.6.2,Seventh Day Double Time,Paid at 2.0x hourly rate for authorized work performed on 7th day of work in week.,OPSEU|CAAT-FTSS|2025-2028|Overtime|Double Time
6.6.4,Payment / Lieu Time,"Option of electing overtime pay or lieu time off at equivalent rate, to be taken within 60 calendar days.",OPSEU|CAAT-FTSS|2025-2028|Overtime|Lieu Time
6.7,Meal Allowance,Meal allowance up to $10.00 when required to work more than 3 continuous overtime hours without prior day notice.,OPSEU|CAAT-FTSS|2025-2028|Meal Allowance|Overtime
6.9,Communication Outside of Work,The College does not expect employees to engage in work-related communications outside of scheduled shifts subject to call-back/on-call requirements.,OPSEU|CAAT-FTSS|2025-2028|Right to Disconnect|Communication
7.2,Position Description Form (PDF),Each employee provided with copy of current PDF upon hire or request. Point rating by factor provided within 10 days of request.,OPSEU|CAAT-FTSS|2025-2028|PDF|Classification|Wages
7.5,Shift Premium,"Shift premium of $1.25/hr between 5 p.m. and midnight, and $1.75/hr between midnight and 6 a.m.",OPSEU|CAAT-FTSS|2025-2028|Shift Premium|Wages
7.6,Lead Hand Premium,Premium of $0.75/hr when temporarily assigned Lead Hand responsibilities.,OPSEU|CAAT-FTSS|2025-2028|Lead Hand|Premiums
