clauseRef,title,body,tags
Award.Term,Term of Agreement (Kaplan Award 2025),"The Collective Agreement shall continue in full force and effect from February 1, 2024 to January 31, 2027.",OPSEU|CAAT-PTSS|2024-2027|Award|Term
Award.Wages,Wage Increases (2024 - 2026),"Across-the-board wage increases awarded as follows: Effective February 1, 2024: 2.5%; Effective February 1, 2025: 2.0%; Effective February 1, 2026: 2.0%. Retroactivity to be paid within ninety (90) days from the date of award to current employees.",OPSEU|CAAT-PTSS|2024-2027|Wages|Award
Article XX.1,Paid Sick Days Entitlement (Award 2025),"Effective 90 days from the date of award, a Regular Part-Time Employee who has completed two (2) weeks of employment shall be entitled to two (2) paid sick days in any one (1) calendar year for absences due to illness, injury, or medical emergency.",OPSEU|CAAT-PTSS|Sick Leave|Paid Sick Days|Award
Article XX.2,Paid Sick Days - Non-Accumulation,Unused sick days shall not accumulate from year to year and shall be cancelled when the employment of a Regular Part-Time Employee ends for any reason.,OPSEU|CAAT-PTSS|Sick Leave|Paid Sick Days|Award
Article XX.3,Sick Pay Calculation,Sick pay is calculated based on a Regular Part-Time Employee's regular scheduled hours for that day.,OPSEU|CAAT-PTSS|Sick Leave|Paid Sick Days|Award
Article XX.5,Sick Days Set-Off Against ESA,"Paid sick days pursuant to this Article include and are set off against the sick leave days to which an employee may be entitled pursuant to the Employment Standards Act, 2000.",OPSEU|CAAT-PTSS|Sick Leave|ESA|Award
1.1,Exclusive Bargaining Agent,"The Union is recognized as the exclusive bargaining agent for all persons regularly employed for not more than 24 hours per week in office, clerical, technical, health care, maintenance, building service, shipping, transportation, cafeteria and nursery positions, and projects of a non-recurring kind.",OPSEU|CAAT-PTSS|Recognition|Bargaining Unit
1.2,Binding on the Parties,"This Agreement is binding on the Council, Colleges, Union, and employees as defined in Article 1.1.",OPSEU|CAAT-PTSS|Recognition
1.3,No Strikes and No Lockouts,"The Union agrees there shall be no strike and the CEC agrees there shall be no lockout during the life of this Agreement, per the Colleges Collective Bargaining Act, 2008.",OPSEU|CAAT-PTSS|Strikes|Lockouts
2.1,Regular Part-Time Employees,Regular Part-Time Employees are employees employed in a continuous position of indefinite extent with regularly scheduled hours on a weekly basis (up to 24 hours per week).,OPSEU|CAAT-PTSS|Definitions|Regular Part-Time
2.2,Casual Employees,Casual Employees are those who work on a call-in basis and/or do not have regularly scheduled hours on a weekly basis.,OPSEU|CAAT-PTSS|Definitions|Casual
2.3,Temporary Employees,"Temporary Employees are those employed to replace Regular Part-Time Employees on leave, or who are employed for a period of up to nine (9) consecutive months, or such longer period as the College and Local Union may agree.",OPSEU|CAAT-PTSS|Definitions|Temporary|Award
2.4,Student Employees,Student Employees are students occupying positions that are only made available to current students of the College.,OPSEU|CAAT-PTSS|Definitions|Students
2.5,Project of a Non-Recurring Kind Employees,Project of a Non-Recurring Kind Employees are employees employed in projects of a non-recurring kind.,OPSEU|CAAT-PTSS|Definitions|Projects
3.1,No Interference or Coercion,"The Colleges and Union agree that there shall be no intimidation, discrimination, interference, restraint or coercion exercised or practised by either party based on union membership or non-membership.",OPSEU|CAAT-PTSS|Relationship|Union Security
3.3,Ontario Human Rights Code & Accommodation,"No discrimination against any employee under the Ontario Human Rights Code. Accommodation, if requested and determined required, is the joint duty of the College, Union, and employee.",OPSEU|CAAT-PTSS|Human Rights|Accommodation
4.1,Management Rights,"The Union acknowledges that it is the exclusive function of the Colleges to maintain order, discipline, efficiency, hire, discharge, transfer, classify, assign, promote, lay off, and direct operations, consistent with the Agreement.",OPSEU|CAAT-PTSS|Management Rights
5.1,List of Employees,"The College shall provide a list of employees to the Local Union President in the second week of October, February, and June containing name, start date, department, rate of pay, location, employee type, and anticipated weekly hours.",OPSEU|CAAT-PTSS|Employee Lists|Union Rights
5.2,Work of a Personal Nature,Employees shall not be required to do work of a personal nature unconnected with the operation of the College.,OPSEU|CAAT-PTSS|Working Conditions
5.3.1,Union/College Committee,Creation of a Union/College Committee at each College consisting of up to three (3) Union representatives and up to three (3) Management representatives.,OPSEU|CAAT-PTSS|Committees
5.3.3,Union/College Committee Functions & EDI Agenda,"The Union/College Committee shall meet 6 times per calendar year. Matters subject to local discussion include Employment Equity, Equity Diversity and Inclusion (EDI) programs, Indigenous Commitment, and mutually agreed items.",OPSEU|CAAT-PTSS|Committees|EDI|Indigenous|Award
6.1,Workplace Sexual Harassment Protections,Right to be free from workplace sexual solicitation or advance. All colleges shall maintain a policy on workplace sexual harassment. Article 20 time limits do not apply provided complaint is made within a reasonable time. Union representation rights apply.,OPSEU|CAAT-PTSS|Sexual Harassment|Human Rights|Award
6.2,Bullying & Psychological Harassment,"Protection against vexatious behavior that intimidates, degrades, humiliates, or affects dignity or integrity. Prompt confidential investigation with union representation rights.",OPSEU|CAAT-PTSS|Harassment|Bullying
7.1.1,Leaves Reimbursed by the Union,"Paid leaves of absence granted for employees attending union conventions, seminars, Executive Board, or Divisional Executive meetings; Union reimburses College for all pay.",OPSEU|CAAT-PTSS|Union Leave
7.1.2,Leave for Union Representatives,Paid leaves granted for union representatives attending provincial meetings or EERC meetings; Union reimburses 50% of pay.,OPSEU|CAAT-PTSS|Union Leave
7.1.3,Union Negotiating Committee,Paid leave granted to up to 7 employees selected by the Union to negotiate collective agreement renewals; Union reimburses College for pay except direct bargaining days.,OPSEU|CAAT-PTSS|Union Leave|Negotiations
7.2,Full-Time Union Assignment Leave,Unpaid leave granted to up to two (2) employees elected to full-time union positions (2-year term). Employees accumulate full seniority during leave.,OPSEU|CAAT-PTSS|Union Leave|Seniority|Award
7.3.1,Union Dues Authorization,Deduction from regular pay of every bargaining unit employee of regular monthly union dues authorized under OPSEU by-laws.,OPSEU|CAAT-PTSS|Union Dues
7.3.3,Remittance of Union Dues,"Deducted dues remitted to OPSEU Head Office by the 15th of the following month, accompanied by an alphabetical employee list with unique identifiers sent to the Local Union President.",OPSEU|CAAT-PTSS|Union Dues
7.4.1,Appointment of Stewards,Union right to select stewards from part-time employees who have completed probation to handle union business with the College.,OPSEU|CAAT-PTSS|Stewards|Union Representation
7.9,Employee Orientation,"Where a College has a formal orientation meeting for new part-time employees, the Local Union shall be given an opportunity to address the group.",OPSEU|CAAT-PTSS|Orientation|Union Rights
8.1,Disciplinary Notice,"Copy of formal disciplinary notice provided to employee. With employee consent, Local Union is notified that a discipline notice is served.",OPSEU|CAAT-PTSS|Discipline|Personnel File
8.2,Access to Performance Appraisals / HR File,Employee entitled to reasonable access to official performance appraisals and disciplinary notices in their human resources file.,OPSEU|CAAT-PTSS|Personnel File
8.3,Removal of Discipline Notices from File,Employee may request once per calendar year removal of disciplinary notices in official HR file for more than 15 months (discretion not unreasonably exercised).,OPSEU|CAAT-PTSS|Discipline|Personnel File
9.1,Hours of Work - General,Provides basis for calculating time worked (normally up to 24 hours per week). College open 7 days/week; weekend work may be required.,OPSEU|CAAT-PTSS|Hours of Work
9.2,Request for Additional Hours,Regular Part-Time employees working under 24 hours/week may advise supervisor in writing each July 3rd of availability for additional hours.,OPSEU|CAAT-PTSS|Hours of Work|Scheduling
9.3,Changes in Schedule,"Regular Part-Time employees shall receive at least two (2) weeks' notice of schedule changes, except in circumstances beyond College control.",OPSEU|CAAT-PTSS|Schedules
9.3.1,Canceled Shifts Pay Protection (Award 2025),"If the College cancels a Regular Part-Time Employee's shift with less than 24 hours' notice or sends them home early for reasons beyond their control, the employee suffers no loss of pay for that shift.",OPSEU|CAAT-PTSS|Shift Cancellation|Hours of Work|Award
9.5,Overtime Rate,Authorized overtime paid at time and one-half (1.5x) hourly rate for hours worked in excess of 40 hours in each work week.,OPSEU|CAAT-PTSS|Overtime
9.6,Rest & Meal Breaks,30-minute unpaid meal break required after five (5) hours continuous work. Current rest period practices maintained.,OPSEU|CAAT-PTSS|Rest Periods|Meal Breaks
9.7,Split Shifts,Employees not hired/posted into split shifts shall not be required to work split shifts without employee agreement.,OPSEU|CAAT-PTSS|Split Shifts
9.8.1,On-Call Premium,Regular Part-Time assigned to on-call paid $1.00 per hour for on-call hours. Must be available and reachable to respond within reasonable time.,OPSEU|CAAT-PTSS|On-Call Premium
9.8.2.1,Call Back - Workplace Return,Regular Part-Time recalled to workplace before next shift guaranteed minimum payment of three (3) hours at regular rate.,OPSEU|CAAT-PTSS|Call Back
9.8.2.2,Call Back - Off-site Resolution,Regular Part-Time recalled to resolve issues off-site (phone/remote) guaranteed minimum payment of two (2) hours.,OPSEU|CAAT-PTSS|Call Back
10.1,Hourly Wages,"Hourly rates determined by College, provided no employee paid less than minimum wage and scale includes general wage increases.",OPSEU|CAAT-PTSS|Wages
10.2,Pay Period,Employees paid every two (2) weeks. Overtime included in pay period following completion. First pay received within 4 weeks of hire.,OPSEU|CAAT-PTSS|Pay Period
10.3,Shift Premium,Shift premium of $0.75/hour for hours worked between 5 p.m. and midnight; $1.00/hour for hours worked between midnight and 6 a.m.,OPSEU|CAAT-PTSS|Shift Premium
11.1,Kilometrage Allowance,"Kilometrage allowance for authorized college business: 0-4000 km (40.0¢ South / 41.0¢ North per km); scaling down to 24.0¢/25.0¢ over 24,000 km.",OPSEU|CAAT-PTSS|Expenses|Kilometrage
12.1,Tuition Reimbursement,Regular Part-Time completing approved job-related educational courses reimbursed for all or part of tuition fees.,OPSEU|CAAT-PTSS|Education|Tuition
12.3,Tuition Fees ($20 Course Benefit),Regular Part-Time employee may take approved college courses for $20 per course fee plus materials on own time (one course/term or as agreed).,OPSEU|CAAT-PTSS|Education|Tuition Fee Waiver
12.4.1,Developmental Leave,Developmental leave of 1 to 12 months available to Regular Part-Time with 6+ years service for academic/technical skill enhancement.,OPSEU|CAAT-PTSS|Developmental Leave
