clauseRef,title,body,tags
1.1,Name of the Union,The Union shall be known as the 'Ontario Public Service Employees Union/Syndicat des employés de la fonction publique de l'Ontario'.,OPSEU|Constitution|2026|Governance|Name
2.1,Definition of Union,Union means 'Ontario Public Service Employees Union/Syndicat des employés de la fonction publique de l'Ontario' and not a subsidiary body.,OPSEU|Constitution|2026|Definitions
3.1,Headquarters Location,"The Headquarters of the Union shall be located in Toronto, Ontario, Canada.",OPSEU|Constitution|2026|Headquarters
4.1,Aims and Purposes of the Union,"Regulate labour relations, bargain collectively, safeguard human rights, organize employees, advance socio-economic interests, ensure equal pay, dismantle anti-Black, anti-Indigenous, and all forms of racism, and defend the right to strike.",OPSEU|Constitution|2026|Aims|Human Rights|Equity
5.1,Jurisdiction and Eligibility,"Employees of the Ontario Government, Crown emanating agencies, public service, municipalities, school boards, public utilities, social/welfare agencies, and recognized bargaining units are eligible for membership.",OPSEU|Constitution|2026|Jurisdiction|Membership
6.1,Becoming a Member,An eligible gainfully employed worker becomes a Member by completing and submitting a prescribed membership application form and paying any required initiation or membership fee.,OPSEU|Constitution|2026|Membership|Application
6.3,Membership in Good Standing,"A Member remains in good standing if not more than 3 months in arrears in dues, gainfully employed in an OPSEU bargaining unit, and not suspended or expelled.",OPSEU|Constitution|2026|Membership|Good Standing
6.3.Leaves,Members on Leave & Dues,Members on LTD/WSIB may seek and hold office and be delegates by paying uniform monthly dues up to $5.00 set by the Board. Members on other leaves pay full dues.,OPSEU|Constitution|2026|Membership|Leaves|Dues
6.4,Layoff Status Rights,"Members on regular seasonal, short-term, or indefinite layoff remain in good standing for the recall term without dues; permanently laid-off members are not eligible for continuing membership.",OPSEU|Constitution|2026|Membership|Layoff|Recall
6.5,Grievance Pending Status,"Dismissed or improperly laid-off members remain in good standing while a grievance is pending. To hold office, they pay uniform monthly dues up to $5.00.",OPSEU|Constitution|2026|Membership|Dismissal|Grievance
6.8.1,Secondments Outside Unit,"A steward, officer, or trustee seconded or assigned outside any OPSEU bargaining unit cannot carry out Union duties during secondment, but retains other membership rights.",OPSEU|Constitution|2026|Membership|Secondment
6.8.3,Management Position Ineligibility,Any Member concurrently holding a management/excluded position outside the unit or with management oversight over an OPSEU member in their local is ineligible to seek or hold Union office.,OPSEU|Constitution|2026|Membership|Management|Ineligibility
6.11.1,Retired Members Rights,Retiring Members can become Retired Members upon paying $10.00 dues. They have voice but no vote at Local meetings and cannot add to Local delegate/rebate counts.,OPSEU|Constitution|2026|Membership|Retired Members
7.1,Rights of Members in Good Standing,"Right to representation, dignity/respect, freedom from discrimination/harassment, nomination and holding office, Local participation, agreement ratification voting, and receiving the Constitution.",OPSEU|Constitution|2026|Rights|Equity|Harassment
7.2.1,Mandatory Anti-Racism Training,"Within 60 days of election or appointment to any OPSEU office, the Member must participate in mandatory OPSEU training on dismantling anti-Black racism, anti-Indigenous racism, and all forms of discrimination.",OPSEU|Constitution|2026|Training|Anti-Racism|Equity|Officers
7.4,Sanctions & Executive Board Authority,"By 2/3 majority vote, Executive Board may sanction a member for strikebreaking, anti-racism policy breaches, decertification attempts, or serious constitutional violations.",OPSEU|Constitution|2026|Discipline|Sanctions|Executive Board
7.5,Types of Sanctions,"Sanctions may include expulsion, suspension for a specified term, removal from office, prohibition on seeking office, training programs, or conditions on membership.",OPSEU|Constitution|2026|Discipline|Sanctions|Expulsion
7.6,Procedural Fairness,"Decisions under Article 7.4 must adhere to procedural fairness, giving reasonable notice and an opportunity to make representations.",OPSEU|Constitution|2026|Discipline|Procedural Fairness
8.1,Shop Steward Responsibilities,"Distribute information, carry workplace issues to LEC, communicate LEC decisions, enlist member support in campaigns, and investigate/prepare grievances.",OPSEU|Constitution|2026|Stewards|Responsibilities|Grievances
8.2,Shop Steward Rights,"Right of access to LEC/unit meetings, right to be informed of grievance disposition, and right to high-quality education and training.",OPSEU|Constitution|2026|Stewards|Rights|Training
9.1,Merger with Other Unions,Requires a majority vote of members in the joining unit and a 2/3 vote of the Executive Board to grant OPSEU membership.,OPSEU|Constitution|2026|Mergers|Organization
10.2,Local Labour Council Affiliation,Locals may affiliate with local labour councils; OPSEU Head Office reimburses no less than 90% of affiliation costs.,OPSEU|Constitution|2026|Affiliations|Labour Councils
11.1.3,Seven Regions Structure,Locals are grouped into 7 Regions. Each Region elects 3 members to the Executive Board.,OPSEU|Constitution|2026|Structure|Regions|Executive Board
12.2.1,Local Autonomy & Purpose,"Locals encourage member participation, negotiate local agreements, process grievances, control expenditures, and elect delegates to Convention.",OPSEU|Constitution|2026|Locals|Autonomy|Governance
12.2.4,Types of Crown Locals,"Single-Unit Local (one ministry/agency at one site), Multi-Unit Local (one ministry/agency at multiple sites), Composite Local (multiple ministries/agencies).",OPSEU|Constitution|2026|Locals|Structure
12.5.1,Local Bylaws & Default Rules,"Locals may adopt bylaws by 2/3 vote. If no local bylaws are adopted, Article 29 of the Constitution applies automatically.",OPSEU|Constitution|2026|Locals|Bylaws
13.1,Annual Convention Requirement,Regular Convention is held annually in Ontario at a time and place determined by the Executive Board.,OPSEU|Constitution|2026|Convention|Annual
13.4,Convention Delegate Entitlement Grid,Up to 150 members = 1 delegate; 151-300 = 2; 301-500 = 3; 501-800 = 4; 801-1100 = 5; 1101-1500 = 6; 1501-1900 = 7; 1901-2300 = 8; 2301+ = 9 delegates.,OPSEU|Constitution|2026|Convention|Delegates|Entitlement
13.5.1,Delegate Election Rules,Delegates/alternates are elected at general membership meetings by majority vote (or plurality if adopted). Local President is automatically the first delegate.,OPSEU|Constitution|2026|Convention|Delegates|Elections
13.8,Resolutions Deadline,Resolutions and constitutional amendments must be submitted at least 60 calendar days prior to Convention opening.,OPSEU|Constitution|2026|Convention|Resolutions|Amendments
13.11.Rules,Convention Rules of Order,3-minute speaking limit per delegate; no speaking twice until all have spoken; 2/3 majority required for previous question/closure; governed by Robert's Rules.,OPSEU|Constitution|2026|Convention|Rules of Order
14.1.1,Executive Board Composition,"21 Members elected at Regional meetings every 3 years (3 per Region), plus 7 Equity Board Members appointed by Executive Board upon Board Equity Committee recommendation.",OPSEU|Constitution|2026|Executive Board|Elections|Equity
14.6.2,Majority Election Threshold,Executive Board elections require a secret ballot and a majority vote (>50%). Run-off ballots drop lowest candidate until majority achieved.,OPSEU|Constitution|2026|Elections|Voting|Majority
14.7.2,Oath of Office,"Mandatory oath to uphold Constitution, dismantle anti-Black and anti-Indigenous racism, and complete required OPSEU training.",OPSEU|Constitution|2026|Oath|Officers|Anti-Racism
14.8.1,Election of President and First VP,President and First Vice-President/Treasurer are elected separately by delegates from among the 28 Members-elect of the Board.,OPSEU|Constitution|2026|Officers|President|First VP
15.2,President Vacancy Succession,"If President office falls vacant, First VP/Treasurer automatically assumes full duties as Acting President until next Convention election.",OPSEU|Constitution|2026|Vacancies|President|Succession
16.2.1,Executive Board Governance Role,"Governing body when Convention is not in session; upholds Constitution, implements Convention decisions, formulates policy, oversees officers/staff.",OPSEU|Constitution|2026|Executive Board|Governance
16.3,Executive Board Meeting Frequency,Board meets in regular session at least 6 times per year; interval between meetings cannot exceed 3 months.,OPSEU|Constitution|2026|Executive Board|Meetings
16.9.2,Trusteeship Imposition & 6-Month Review,"Board may place a subsidiary body under trusteeship by 2/3 vote for up to 6 months if corrupt, incompetent, or violating Constitution.",OPSEU|Constitution|2026|Trusteeship|Governance
16.10,Decertification Campaign Ban,Members shall not participate in or support any campaign to decertify or displace OPSEU in any certified bargaining unit.,OPSEU|Constitution|2026|Decertification|Prohibition|Discipline
17.5,Non-Budgetary Spending Limits,"Executive Committee may approve unforeseen/non-budgetary expenditures up to $10,000 on a single item, up to $120,000 annual cap.",OPSEU|Constitution|2026|Finances|Executive Committee|Expenditures
18.1.1,President Duties & Status,"Chief Executive Officer working full-time; chairs Board, Committee, and Convention; chief spokesperson for the Union.",OPSEU|Constitution|2026|President|CEO|Duties
18.1.3,Constitutional Interpretation Authority,President has sole authority to interpret the Constitution and Local Bylaws (after consulting Executive Committee). Subject to appeal to Board or Convention.,OPSEU|Constitution|2026|President|Interpretation|Constitution
19.1,Provincial Women's Committee,Composed of 1 woman member from each Region; promotes programs to encourage women's participation and equality awareness.,OPSEU|Constitution|2026|Committees|PWC|Equity|Women
19.2,Provincial Human Rights Committee,"Composed of 1 member from each Region; promotes workplace, community, national, and international human rights awareness.",OPSEU|Constitution|2026|Committees|PHRC|Human Rights
19.3,Provincial Young Workers Committee,Composed of 1 member from each Region; develops programs to encourage youth participation and understanding of youth issues.,OPSEU|Constitution|2026|Committees|PYWC|Young Workers
19.4,Provincial Francophone Committee,Composed of 1 member from each Region; promotes programs for Francophones and awareness of Francophone issues.,OPSEU|Constitution|2026|Committees|Francophone|French Services
19.5,Indigenous Circle,"Composed of 2 members per Region; selected triennially to promote programs for First Nation, Métis, and Inuit members.",OPSEU|Constitution|2026|Committees|Indigenous Circle|Equity
19.6,Rainbow Alliance arc-en-ciel Committee,Composed of 2 members per Region; selected triennially to promote TBLGIAPQQ2S awareness and participation.,OPSEU|Constitution|2026|Committees|Rainbow Alliance|2SLGBTQ+
19.7,Coalition of Racialized Workers Committee,Composed of 2 members per Region; selected triennially to promote networks and programs for Black and racialized members.,OPSEU|Constitution|2026|Committees|Racialized Workers|Anti-Racism
20.1,Union Dues Level & Notice,Dues level set by Board; increases require 2/3 Convention vote after 3 months advance written notice to all Locals.,OPSEU|Constitution|2026|Dues|Revenue|Convention
20.1.2,Strike Fund Temporary Levy,"Following a strike that drops the Strike Fund below $50M, OPSEU may levy a 0.2% temporary dues supplement until the fund reaches $50M.",OPSEU|Constitution|2026|Strike Fund|Dues|Levy
20.1.3,Strike Fund $50M Floor & 5% Transfer,"Minimum Strike Fund floor set at $50 million (2001 dollars, CPI adjusted); 5% of general revenue transferred monthly to Strike Fund.",OPSEU|Constitution|2026|Strike Fund|Finances
21.2.1,Ministry and Sector Divisions,"Includes OPS Ministries, CAAT Academic, CAAT Support, Hospital Health Professionals, and BPS sectors.",OPSEU|Constitution|2026|Divisions|Sectors|CAAT
22.1,Area Councils Formation,Formed by Locals in a geographic area; requires a minimum of 5 Locals to form or continue.,OPSEU|Constitution|2026|Area Councils|Locals
23.1,Strike Fund Allowed Uses,"Strike pay, work stoppage expenses, and interest-free loans to other striking unions (by 2/3 Board vote).",OPSEU|Constitution|2026|Strike Fund|Uses|Loans
23.3,Defence Fund Purpose,"Maintains Defence Fund to defend Members in fundamental union challenge situations requiring legal, lobbying, or political campaigns.",OPSEU|Constitution|2026|Defence Fund|Legal|Lobbying
24.1.3,Collective Agreement Ratification,Local agreements negotiated in Union name; requires approval of President and ratification by majority of voting members before signing.,OPSEU|Constitution|2026|Bargaining|Ratification|President
25.1,Duty to Report Agreement Breaches,Member observing contract/statute breach must notify Local President or Steward to launch a grievance.,OPSEU|Constitution|2026|Grievances|Duty|Stewards
25.2,Right to Representation,No grievor will be denied representation at any time.,OPSEU|Constitution|2026|Grievances|Representation|Rights
27.1,Constitutional Amendment Threshold,Constitution amended only by 2/3 vote of delegates present and voting at Convention.,OPSEU|Constitution|2026|Amendments|Convention|2/3 Majority
29.1.1,Shop Steward Working Areas,Locals define working areas in same building/site. Members in area elect one or more Shop Stewards.,OPSEU|Constitution|2026|Locals|Stewards|Elections
29.1.2,Local Executive Committee Composition,"LEC composed of Shop Stewards. LEC Officers (President, VP, Secretary, Treasurer, Chief Steward) elected from among Stewards at general meeting.",OPSEU|Constitution|2026|Locals|LEC|Officers|Stewards
29.2.1,Required Local Officers,"Every Local must have a President and at least 2 of: VP, Secretary, Treasurer/Sec-Treas, plus Chief/Unit Stewards.",OPSEU|Constitution|2026|Locals|Officers|LEC
29.3.1,Local Term of Office (3 Years Default),"Term of office for Stewards and Officers elected after Convention 2024 is 3 years, unless Local adopts a bylaw for 1 to 2 years.",OPSEU|Constitution|2026|Locals|Term of Office|3 Years
29.4.3,Secret Ballot Elections,All elections within the Union shall be conducted by secret ballot.,OPSEU|Constitution|2026|Elections|Secret Ballot
29.5.1,Local President Duties,"Enforce bylaws, preside at meetings, ex-officio on committees, generally supervise Local affairs.",OPSEU|Constitution|2026|Locals|President|Duties
29.6.1,Local Trustees Audit Committee,Every Local elects at least 2 Trustees (audit committee) who cannot hold other Local office. Audit books at least twice yearly and file 6-month reports to HQ.,OPSEU|Constitution|2026|Locals|Trustees|Audit|Finances
29.7.1,Local Membership Meetings Frequency,General membership meetings must be convened at least twice each year.,OPSEU|Constitution|2026|Locals|Meetings|Frequency
29.8.2,Quorum Requirements Grid,1-20 members = 50%; 21-200 members = 10 members; 201+ members = 5% of members.,OPSEU|Constitution|2026|Locals|Quorum|Meetings
29.9.2,Steward Oath,"Mandatory oath promising to uphold Constitution/Bylaws, represent members, and dismantle anti-Black and anti-Indigenous racism.",OPSEU|Constitution|2026|Locals|Stewards|Oath|Anti-Racism
29.10.1,Local Financial Administration,"Local funds used only for trade union purposes; expenditures by cheque/online with 2 signing officers (President, VP, Sec, Treas, Chief Steward).",OPSEU|Constitution|2026|Locals|Finances|Signing Officers
30.1.1,Strikebreaking Declaration Vote,Local membership meeting may declare a member engaged in strikebreaking by 2/3 majority vote after reasonable written notice and opportunity to present views.,OPSEU|Constitution|2026|Strikebreaking|Discipline|Local Vote
30.3,Essential/Emergency Exemption,Members performing designated essential/emergency services during a legal strike are exempt from strikebreaking sanctions.,OPSEU|Constitution|2026|Strikebreaking|Essential Services|Exemption
31.1,Picket Line Protocol,"Members shall not violate picket lines and shall not perform bargaining unit work of striking/locked-out members, except as required by law/essential agreement.",OPSEU|Constitution|2026|Picket Lines|Solidarity|Strikes
